id,title,author,genre,publication_year,plot
546,El Bosque Susurrante,Emilia Torres,Fantasy,2020,Una joven descubre un bosque mágico donde debe enfrentar sus miedos para salvar su aldea.
547,Les Échos du Temps,Jean-Pierre Noir,Science Fiction,2019,Un scientifique invente une machine à voyager dans le temps et retourne en arrière pour empêcher une catastrophe mondiale.
548,Die Schatten der Vergangenheit,Viktoria Straße,Mystery,2018,Ein Detektiv entwirrt eine Reihe von Morden die mit einem alten ungelösten Fall verbunden zu sein scheinen.
549,Il Regno Perduto,Davide Re,Adventure,2017,Ein Gruppe von Forschern sucht nach einem legendären Königreich das tief im Amazonas-Regenwald verborgen ist.
550,La Danza delle Stelle,Sara Bianca,Romance,2016,Eine Liebesgeschichte zwischen einem Astronauten und einer Wissenschaftlerin die sich während einer Weltraummission kennenlernen.
551,La Maison Hantée,Michel Sombre,Horror,2015,Eine Familie zieht in ein altes Herrenhaus und beginnt übernatürliche Ereignisse zu erleben.
552,A Cidade Esquecida,Lucia Verde,Historical Fiction,2014,Eine Geschichte über eine Stadt die in der Zeit verloren ging und den Archäologen der ihre Geheimnisse entdeckt.
553,El Espejo Encantado,Olivia Azul,Fantasy,2013,Ein magischer Spiegel der Wünsche erfüllt führt einen jungen Jungen auf ein gefährliches Abenteuer.
554,La Frontière Numérique,Thomas Gris,Science Fiction,2012,Ein Hacker entdeckt eine Verschwörung die die digitale Welt bedroht.
555,L'Acte de Disparition,Emma Pierre,Mystery,2011,Ein Magierassistent verschwindet während einer Aufführung was zu einer komplexen Untersuchung führt.
556,El Tesoro Oculto,Ricardo Marrón,Adventure,2010,Ein Schatzsucher sucht nach dem versteckten Vermögen eines legendären Piraten.
557,El Sendero Estrellado,Amelia Rosa,Romance,2009,Ein Paar findet die Liebe während es den Appalachen-Trail wandert.
558,La Mansión Maldita,Enrique Negro,Horror,2008,Eine Gruppe von Freunden verbringt die Nacht in einem verfluchten Schloss und stellt sich ihren dunkelsten Ängsten.
559,La Profecía Antigua,Clara Blanca,Historical Fiction,2007,Eine alte Prophezeiung erfüllt sich und verändert den Lauf der Geschichte.
560,El Bosque Místico,Eleonor Verde,Fantasy,2006,Ein junges Mädchen betritt einen mystischen Wald und begegnet magischen Kreaturen.
561,El Dilema del Viajero del Tiempo,Benjamín Gris,Science Fiction,2005,Ein Zeitreisender muss entscheiden ob er die Vergangenheit ändern oder die Geschichte ihren Lauf nehmen lassen soll.
562,El Testigo Silencioso,Sofía Piedra,Mystery,2004,Ein Detektiv löst einen Mordfall mit Hilfe eines stummen Zeugen.
563,La Isla Perdida,Samuel Marrón,Adventure,2003,Eine Gruppe von Forschern entdeckt eine verlorene Insel die mit antiken Ruinen gefüllt ist.
564,La Serenata Lunar,Isabella Rosa,Romance,2002,Ein Musiker und eine Tänzerin verlieben sich während einer mondbeschienenen Aufführung.
565,La Casa Encantada,Alejandro Oscuro,Horror,2001,Eine Familie zieht in ein Spukhaus und erlebt beängstigende Ereignisse.
566,El Legado Olvidado,Victoria Calle,Historical Fiction,2000,Ein Historiker entdeckt ein vergessenes Erbe das den Lauf der Geschichte verändert.
567,El Jardín Encantado,Olivia Azul,Fantasy,1999,Ein magischer Garten erwacht zum Leben und führt ein junges Mädchen auf ein spannendes Abenteuer.
568,La Revolución Digital,Thomas Gris,Science Fiction,1998,Ein Computerprogrammierer erstellt eine KI die die Welt übernimmt.
569,El Punto de Desaparición,Emma Pierre,Mystery,1997,Ein Detektiv untersucht eine Reihe von Verschwinden die miteinander verbunden zu sein scheinen.
570,La Cueva Oculta,Ricardo Marrón,Adventure,1996,Eine Gruppe von Forschern entdeckt eine verborgene Höhle die mit antiken Schätzen gefüllt ist.
571,El Baile Estrellado,Amelia Rosa,Romance,1995,Ein Paar findet die Liebe während es unter den Sternen tanzt.
572,La Mansión Maldita,Enrique Negro,Horror,1994,Eine Gruppe von Freunden verbringt die Nacht in einem verfluchten Herrenhaus und stellt sich ihren dunkelsten Ängsten.
573,El Secreto Antiguo,Clara Blanca,Historical Fiction,1993,Ein altes Geheimnis wird enthüllt und verändert den Lauf der Geschichte.
574,El Lago Místico,Eleonor Verde,Fantasy,1992,Ein junges Mädchen entdeckt einen mystischen See der Wünsche erfüllt.
575,El Viaje del Viajero del Tiempo,Benjamín Gris,Science Fiction,1991,Ein Zeitreisender muss entscheiden ob er die Vergangenheit ändern oder die Geschichte ihren Lauf nehmen lassen soll.
576,El Observador Silencioso,Sofía Piedra,Mystery,1990,Ein Detektiv löst einen Mordfall mit Hilfe eines stillen Zeugen.
577,La Ciudad Perdida,Samuel Marrón,Adventure,1989,Eine Gruppe von Forschern entdeckt eine verlorene Stadt die tief im Dschungel verborgen ist.
578,La Melodía Lunar,Isabella Rosa,Romance,1988,Ein Musiker und eine Tänzerin verlieben sich während einer mondbeschienenen Aufführung.
579,La Villa Encantada,Alejandro Oscuro,Horror,1987,Eine Familie zieht in eine Spukvilla und erlebt beängstigende Ereignisse.
580,El Legado Olvidado,Victoria Calle,Historical Fiction,1986,Ein Historiker entdeckt ein vergessenes Erbe das den Lauf der Geschichte verändert.
581,El Prado Encantado,Olivia Azul,Fantasy,1985,Eine magische Wiese erwacht zum Leben und führt ein junges Mädchen auf ein spannendes Abenteuer.
582,La Era Digital,Thomas Gris,Science Fiction,1984,Ein Computerprogrammierer erstellt eine KI die die Welt übernimmt.
583,El Rastro de Desaparición,Emma Pierre,Mystery,1983,Ein Detektiv untersucht eine Reihe von Verschwinden die miteinander verbunden zu sein scheinen.
584,El Templo Oculto,Ricardo Marrón,Adventure,1982,Eine Gruppe von Forschern entdeckt einen verborgenen Tempel der mit antiken Schätzen gefüllt ist.
585,El Abrazo Estrellado,Amelia Rosa,Romance,1981,Ein Paar findet die Liebe während es unter den Sternen umarmt.
586,La Residencia Maldita,Enrique Negro,Horror,1980,Eine Gruppe von Freunden verbringt die Nacht in einem verfluchten Anwesen und stellt sich ihren dunkelsten Ängsten.
587,El Enigma Antiguo,Clara Blanca,Historical Fiction,1979,Ein altes Rätsel wird enthüllt und verändert den Lauf der Geschichte.
588,El Río Místico,Eleonor Verde,Fantasy,1978,Ein junges Mädchen entdeckt einen mystischen Fluss der Wünsche erfüllt.
589,La Odisea del Viajero del Tiempo,Benjamín Gris,Science Fiction,1977,Ein Zeitreisender begibt sich auf eine Odyssee durch die Zeit um die Vergangenheit zu ändern.
590,El Guardián Silencioso,Sofía Piedra,Mystery,1976,Ein Detektiv löst einen Mordfall mit Hilfe eines stillen Wächters.
791,The Whispering Shadows,Alice Green,Mystery,2020,A detective uncovers a series of murders linked to an ancient curse in a small coastal town.
792,L'Alba Galattica,Benjamin Smith,Science Fiction,2019,Il primo viaggio interstellare dell'umanità porta alla scoperta di una civiltà aliena sull'orlo dell'estinzione.
793,Ecos del Pasado,Catherine White,Historical Fiction,2018,Una joven arqueóloga desentraña los secretos de una civilización perdida mientras lucha con el pasado oculto de su propia familia.
794,Der Verzauberte Wald,David Brown,Fantasy,2021,"Eine Gruppe von Kindern stolpert über einen magischen Wald, in dem mythische Kreaturen ihnen helfen, ihre Ängste zu überwinden."
795,Sinfonía de Medianoche,Emma Black,Romance,2022,Un renombrado pianista y un compositor en apuros encuentran amor e inspiración en la compañía del otro.
796,La Marée Cramoisie,Frank Davis,Adventure,2017,Un capitaine pirate audacieux et son équipage entreprennent un voyage périlleux pour trouver un trésor légendaire.
797,Sogni Infranti,Grace Johnson,Drama,2023,L'ascesa alla fama di una giovane attrice è minacciata da un oscuro segreto del suo passato.
798,La Mansión Embrujada,Henry Clark,Horror,2016,Una familia se muda a una vieja mansión sin saber de la siniestra presencia que acecha dentro de sus paredes.
799,Das Dilemma des Zeitreisenden,Isabella Lee,Science Fiction,2024,"Ein Zeitreisender muss entscheiden, ob er die Zukunft oder die Vergangenheit retten will, wenn er vor einem moralischen Dilemma steht."
800,Il Regno Perduto,Jack Wilson,Fantasy,2015,"Un giovane principe intraprende una ricerca per recuperare il suo regno perduto, affrontando pericoli e scoprendo nuovi alleati."
801,The Hidden Treasure,Jane Adams,Adventure,2014,A group of friends embark on a treasure hunt that leads them to uncover a hidden pirate treasure.
802,La Città Sommersa,John Brown,Science Fiction,2013,"Una città sottomarina viene scoperta da un gruppo di scienziati, rivelando segreti di una civiltà avanzata."
803,El Sueño de la Sirena,Karen Davis,Fantasy,2012,Una sirena si innamora di un marinaio e deve scegliere tra il suo mondo sottomarino e il mondo umano.
804,Der Schatten des Vampirs,Linda Evans,Horror,2011,Ein Vampirjäger verfolgt einen mächtigen Vampir durch die Straßen einer dunklen Stadt.
805,L'Amour Éternel,Michael Green,Romance,2010,"Un amour éternel naît entre un vampire et une humaine, défiant les lois de la nature et du temps."
806,The Forgotten Island,Nancy White,Adventure,2009,A group of explorers discover a forgotten island with ancient ruins and hidden treasures.
807,Il Segreto del Castello,Oliver Black,Mystery,2008,Un castello abbandonato nasconde un segreto oscuro che un gruppo di amici deve svelare.
808,La Melodía del Corazón,Patricia Brown,Romance,2007,Una melodía misteriosa une a dos personas que estaban destinadas a encontrarse.
809,Der Fluch des Pharaos,Quentin Davis,Adventure,2006,Un arqueólogo descubre una tumba maldita y debe enfrentarse a la maldición del faraón.
810,El Viaje del Tiempo,Rachel Evans,Science Fiction,2005,Un científico inventa una máquina del tiempo y viaja al pasado para cambiar el curso de la historia.
891,The Lost Kingdom,Jane Smith,English,Fantasy,A young hero embarks on a quest to find a lost kingdom hidden deep within a magical forest.
892,Il Mistero di Venezia,Mario Rossi,Italian,Mystery,Un detective veneziano scopre un antico segreto nascosto nei canali della città.
893,Die Geheimnisse des Waldes,Hans Müller,German,Adventure,Ein Abenteurer entdeckt die Geheimnisse eines verzauberten Waldes und kämpft gegen dunkle Mächte.
894,El Sueño de la Sirena,Carlos García,Spanish,Romance,Una joven sirena se enamora de un marinero y debe enfrentar las consecuencias de su amor prohibido.
895,Le Secret de la Tour,Marie Dupont,French,Historical,Une jeune femme découvre un ancien secret caché dans une tour médiévale et doit protéger son héritage.
896,The Whispering Shadows,Emily Johnson,English,Horror,A group of friends uncover a dark presence in an abandoned mansion that whispers their deepest fears.
897,Il Viaggio nel Tempo,Giovanni Bianchi,Italian,Science Fiction,Un gruppo di scienziati viaggia nel tempo per salvare il futuro dell'umanità.
898,Die Legende des Drachen,Anna Schmidt,German,Fantasy,Ein junger Drachenreiter muss die Welt vor einer dunklen Bedrohung retten.
899,El Enigma del Faro,Laura Pérez,Spanish,Mystery,Un detective investiga una serie de misteriosas desapariciones en un antiguo faro.
911,The Whispering Pebbles,Alice Green,English,Fantasy,"In a world where pebbles whisper ancient secrets, a young girl must decipher their messages to save her village from a looming darkness."
