id,name,part_number,manufacturer,category,material,weight,price,detailed_description
507,Head Gasket,HG-507,EngineMasters,Engine,Composite,0.4 kg,40.00,"High-quality head gasket designed for optimal sealing and engine performance."
508,Brake Booster,BB-508,BrakeMasters,Brakes,Aluminum,2.0 kg,90.00,"Efficient brake booster for improved braking performance."
509,Transmission Cooler,TC-509,TransmissionPro,Transmission,Aluminum,2.5 kg,120.00,"High-efficiency transmission cooler for optimal transmission temperature."
510,Power Steering Reservoir,PSR-510,SteerRight,Steering,Plastic,0.5 kg,25.00,"Durable power steering reservoir for effective fluid containment."
511,Engine Cover,EC-511,EngineMasters,Engine,Plastic,1.0 kg,40.00,"Stylish engine cover designed for protection and aesthetics."
512,Trunk Weatherstrip,TWS-512,AutoPartsCo,Exterior,Rubber,0.5 kg,15.00,"Effective weatherstrip designed to seal the trunk and prevent leaks."
513,Grille,GR-513,BodyWorks,Exterior,Plastic,2.0 kg,80.00,"Custom grille designed for enhanced airflow and vehicle aesthetics."
514,Shock Absorber Mount,SAM-514,SuspensionPro,Rubber,0.4 kg,20.00,"Durable shock absorber mount for secure attachment and vibration absorption."
515,Air Conditioning Condenser,ACC-515,ClimateControl,HVAC,Aluminum,2.0 kg,90.00,"High-efficiency condenser designed for optimal cooling performance."
516,Thermostat,TH-516,EngineMasters,Engine,Steel,0.2 kg,20.00,"Reliable thermostat designed for accurate temperature regulation."
517,Clutch Master Cylinder,CMC-517,AutoPartsCo,Transmission,Aluminum,1.2 kg,70.00,"High-performance clutch master cylinder for smooth gear shifting."
518,Engine Oil Pressure Sensor,EOPS-518,EngineMasters,Electrical,Plastic,0.1 kg,15.00,"Precision oil pressure sensor for accurate engine monitoring."
519,Brake Fluid Reservoir,BFR-519,BrakeMasters,Brakes,Plastic,0.3 kg,10.00,"Durable brake fluid reservoir for effective fluid containment."
520,Car Cover,CC-520,AutoPartsCo,Exterior,Fabric,1.5 kg,60.00,"Protective car cover designed to shield against weather and debris."
521,Door Lock Actuator,DLA-521,AutoPartsCo,Electrical,Plastic,0.8 kg,40.00,"Efficient door lock actuator designed for reliable locking and unlocking."
522,Steering Wheel Cover,SWC-522,InteriorPro,Interior,Fabric,0.3 kg,20.00,"Comfortable steering wheel cover designed for improved grip and protection."
523,Rear Brake Shoes,RBS-523,BrakeMasters,Brakes,Composite,1.0 kg,50.00,"Durable rear brake shoes providing reliable stopping power."
524,Fuel Pressure Regulator,FPR-524,FuelFlow,Fuel System,Steel,0.5 kg,40.00,"Precision fuel pressure regulator designed for accurate fuel delivery."
525,Camshaft Position Sensor,CPS-525,EngineMasters,Electrical,Plastic,0.2 kg,25.00,"High-performance camshaft position sensor for improved engine timing."
526,Knock Sensor,KS-526,EngineMasters,Electrical,Plastic,0.2 kg,30.00,"Reliable knock sensor designed to optimize engine performance."
527,Power Folding Mirror,PFM-527,ClearView,Exterior,Plastic,1.0 kg,70.00,"Electric power folding mirror for convenience and safety."
528,Front Suspension Strut,FS-528,SuspensionPro,Steel,3.0 kg,100.00,"Robust front suspension strut designed for enhanced vehicle stability."
529,Brake Dust Shield,BDS-529,BrakeMasters,Brakes,Steel,1.0 kg,35.00,"Protective brake dust shield designed to keep brakes clean and functional."
530,Headlight Bulb,HB-530,LightWorks,Electrical,Glass,0.1 kg,10.00,"High-intensity headlight bulb for optimal illumination."
531,Oil Drain Plug,ODP-531,AutoPartsCo,Engine,Steel,0.1 kg,5.00,"Durable oil drain plug designed to prevent leaks during oil changes."
532,Rear Differential Cover,RDC-532,DifferentialPro,Transmission,Steel,2.0 kg,80.00,"Sturdy rear differential cover for effective lubrication and protection."
533,Engine Oil Cooler,EOC-533,EngineMasters,Engine,Aluminum,1.5 kg,70.00,"High-performance oil cooler designed for optimal engine temperature management."
534,Transmission Fluid,TF-534,AutoPartsCo,Liquid,1.0 kg,15.00,"High-quality transmission fluid designed for smooth gear shifting."
535,Brake Line Fitting,BLF-535,BrakeMasters,Brakes,Steel,0.1 kg,5.00,"Durable brake line fitting for secure hydraulic connections."
536,Throttle Position Sensor,TPS-536,AirFlow,Electrical,Plastic,0.3 kg,25.00,"Precision throttle position sensor for optimal engine performance."
537,Rear Axle Shaft,RAS-537,ChassisPro,Chassis,Steel,3.0 kg,90.00,"Robust rear axle shaft designed for durability and performance."
538,Oil Pressure Gauge,OPG-538,EngineMasters,Electrical,Plastic,0.2 kg,30.00,"Reliable oil pressure gauge for accurate engine monitoring."
539,Seat Belt Assembly,SBA-539,SafetyFirst,Interior,Textile,1.0 kg,50.00,"High-strength seat belt assembly designed for passenger safety."
540,Window Regulator,WR-540,WindowWorks,Electrical,Plastic,1.5 kg,60.00,"Efficient window regulator for smooth window operation."
541,Windshield Washer Pump,WWP-541,AutoPartsCo,Electrical,Plastic,0.4 kg,20.00,"Reliable windshield washer pump for optimal visibility."
542,Door Hinge,DH-542,BodyWorks,Steel,1.0 kg,30.00,"Durable door hinge designed for smooth door operation."
543,Rear View Camera,RVC-543,ClearView,Electrical,Plastic,0.5 kg,70.00,"High-definition rear view camera for enhanced parking safety."
544,Flex Plate,FP-544,EngineMasters,Engine,Steel,2.0 kg,50.00,"Durable flex plate designed for reliable power transfer."
545,Oil Pan Gasket,OPG-545,EngineMasters,Engine,Composite,0.2 kg,15.00,"High-quality oil pan gasket designed for optimal sealing."
546,Wheel Spacer,WS-546,AutoPartsCo,Chassis,Aluminum,0.5 kg,25.00,"Lightweight wheel spacer for improved wheel alignment."
547,Engine Cradle,EC-547,EngineMasters,Engine,Steel,5.0 kg,200.00,"Sturdy engine cradle for secure engine positioning."
548,Drive Shaft,DS-548,ChassisPro,Chassis,Steel,6.0 kg,150.00,"Robust drive shaft designed for efficient power transfer."
549,A/C Expansion Valve,ACX-549,ClimateControl,HVAC,Aluminum,0.3 kg,20.00,"High-efficiency expansion valve for optimal air conditioning performance."
550,Tire Pressure Monitoring Sensor,TPMS-550,WheelsPro,Chassis,Plastic,0.1 kg,25.00,"Reliable sensor for accurate tire pressure monitoring."
551,Engine Timing Cover,ETC-551,EngineMasters,Engine,Plastic,1.0 kg,40.00,"Protective timing cover designed for optimal engine timing."
552,Intercooler,IC-552,TurboTech,Fuel System,Aluminum,4.0 kg,150.00,"High-performance intercooler for improved engine efficiency."
553,Transmission Mount Bushing,TMB-553,MountPro,Rubber,0.4 kg,25.00,"Durable bushing designed for effective vibration absorption."
554,Wheel Rim,WR-554,WheelsPro,Chassis,Aluminum,8.0 kg,150.00,"Lightweight aluminum wheel rim designed for performance and aesthetics."
555,Sun Visor,SV-555,InteriorPro,Interior,Plastic,0.5 kg,30.00,"Adjustable sun visor for improved driver visibility."
556,Engine Wiring Harness,EWH-556,AutoPartsCo,Electrical,Plastic,1.5 kg,100.00,"Comprehensive wiring harness for reliable electrical connections."
557,Oxygen Sensor,OS-557,SensorSense,Emissions,Ceramic,0.2 kg,35.00,"Oxygen sensor for precise air-fuel mixture monitoring."
558,Mass Air Flow Sensor,MAF-558,SensorSense,Intake,Plastic,0.3 kg,45.00,"Mass air flow sensor for accurate engine load calculation."
559,Throttle Position Sensor,TPS-559,SensorSense,Intake,Plastic,0.2 kg,30.00,"Throttle position sensor for precise engine control."
560,Camshaft Position Sensor,CMP-560,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor for accurate engine timing."
561,Coolant Temperature Sensor,CTS-561,SensorSense,Cooling,Plastic,0.1 kg,25.00,"Coolant temperature sensor for optimal engine cooling."
562,Engine Control Unit,ECU-562,ECUPro,Electronics,Plastic,1.5 kg,150.00,"Engine control unit for managing engine operations."
563,Airbag Control Unit,ACU-563,AirbagPro,Electronics,Plastic,0.8 kg,120.00,"Airbag control unit for passenger safety."
564,Anti-lock Braking System, ABS-564,BrakePro,Brakes,Steel,3.0 kg,200.00,"Anti-lock braking system for improved vehicle control."
565,Brake Master Cylinder,BMC-565,BrakePro,Brakes,Cast Iron,2.5 kg,80.00,"Brake master cylinder for hydraulic brake force multiplication."
566,Power Steering Pump,PSP-566,SteerPro,Steering,Cast Iron,4.0 kg,150.00,"Power steering pump for improved vehicle maneuverability."
567,Steering Rack,SR-567,SteerPro,Steering,Steel,8.0 kg,250.00,"Steering rack for precise vehicle direction control."
568,Transmission Control Unit,TCU-568,TransPro,Transmission,Plastic,1.2 kg,130.00,"Transmission control unit for smooth gear shifting."
569,Clutch Master Cylinder,CMC-569,TransPro,Transmission,Cast Iron,1.5 kg,70.00,"Clutch master cylinder for clutch engagement control."
570,Alternator,ALT-570,PowerPro,Electrical,Cast Iron,8.0 kg,180.00,"Alternator for vehicle electrical system power generation."
571,Starter Motor,STM-571,PowerPro,Electrical,Cast Iron,5.0 kg,120.00,"Starter motor for vehicle engine cranking."
572,Battery,BAT-572,PowerPro,Electrical,Lead Acid,12.0 kg,80.00,"Battery for vehicle electrical system power storage."
573,Headlight Assembly,HLA-573,LumPro,Lights,Plastic,2.0 kg,50.00,"Headlight assembly for vehicle illumination."
574,Fog Light Assembly,FL-574,LumPro,Lights,Plastic,1.0 kg,30.00,"Fog light assembly for improved visibility in low-light conditions."
575,Taillight Assembly,TLA-575,LumPro,Lights,Plastic,1.5 kg,40.00,"Taillight assembly for vehicle rear illumination and signaling."
576,Side Mirror Assembly,SMA-576,MirrorPro,Exterior,Plastic,1.0 kg,60.00,"Side mirror assembly for driver visibility and safety."
577,Windshield Wiper Assembly,WWA-577,WiperPro,Exterior,Rubber,1.5 kg,45.00,"Windshield wiper assembly for vehicle windshield cleaning."
578,Sunroof Assembly,SRA-578,RoofPro,Exterior,Glass,15.0 kg,500.00,"Sunroof assembly for passenger comfort and natural light."
579,Door Lock Actuator,DLA-579,LockPro,Interior,Plastic,0.5 kg,35.00,"Door lock actuator for automatic door locking and unlocking."
580,Power Window Motor,PWM-580,WindowPro,Interior,Plastic,1.0 kg,50.00,"Power window motor for automatic window operation."
581,Seat Belt Retractor,SBR-581,SafetyPro,Safety,Steel,0.8 kg,40.00,"Seat belt retractor for passenger safety and comfort."
582,Airbag Module,AM-582,AirbagPro,Safety,Fabric,2.0 kg,150.00,"Airbag module for passenger protection in case of collision."
583,Anti-lock Braking System Hydraulic Unit, ABSHU-583,BrakePro,Brakes,Steel,2.5 kg,150.00,"Anti-lock braking system hydraulic unit for improved vehicle control."
584,Brake Pedal Assembly,BPA-584,BrakePro,Brakes,Steel,1.0 kg,50.00,"Brake pedal assembly for driver brake control."
585,Clutch Pedal Assembly,CPA-585,TransPro,Transmission,Steel,1.0 kg,40.00,"Clutch pedal assembly for driver clutch control."
586,Accelerator Pedal Assembly,APA-586,TransPro,Transmission,Steel,0.8 kg,35.00,"Accelerator pedal assembly for driver throttle control."
587,Steering Wheel,SW-587,SteerPro,Steering,Plastic,1.5 kg,100.00,"Steering wheel for vehicle direction control and driver comfort."
588,Steering Column,SC-588,SteerPro,Steering,Steel,5.0 kg,150.00,"Steering column for vehicle direction control and driver comfort."
589,Transmission Shift Lever,TSL-589,TransPro,Transmission,Plastic,0.5 kg,30.00,"Transmission shift lever for driver gear selection."
590,Center Console,CC-590,InteriorPro,Interior,Plastic,3.0 kg,80.00,"Center console for driver controls and storage."
591,Dashboard,DB-591,InteriorPro,Interior,Plastic,5.0 kg,120.00,"Dashboard for driver instrument display and controls."
592,Instrument Cluster,IC-592,InteriorPro,Interior,Plastic,2.0 kg,100.00,"Instrument cluster for driver vehicle status display."
593,Head Unit,HU-593,AudioPro,Entertainment,Plastic,2.5 kg,200.00,"Head unit for vehicle audio and entertainment control."
594,Speaker Assembly,SA-594,AudioPro,Entertainment,Plastic,1.0 kg,50.00,"Speaker assembly for vehicle audio playback."
595,Navigation System,NS-595,NavPro,Entertainment,Plastic,1.5 kg,300.00,"Navigation system for driver route guidance and location services."
596,Backup Camera,BC-596,CamPro,Entertainment,Plastic,0.5 kg,100.00,"Backup camera for driver rearview assistance."
597,Air Conditioning Compressor,ACC-597,ClimatePro,Climate,Steel,5.0 kg,200.00,"Air conditioning compressor for vehicle cabin cooling."
598,Heater Core,HC-598,ClimatePro,Climate,Aluminum,2.0 kg,100.00,"Heater core for vehicle cabin heating."
599,Radiator,RAD-599,ClimatePro,Climate,Aluminum,5.0 kg,150.00,"Radiator for vehicle engine cooling."
600,Expansion Tank,ET-600,ClimatePro,Climate,Plastic,1.0 kg,30.00,"Expansion tank for vehicle cooling system pressure regulation."
601,Power Window Regulator,PWR-601,WindowPro,Interior,Plastic,1.5 kg,60.00,"Power window regulator for automatic window operation."
602,Power Seat Motor,PSM-602,SeatPro,Interior,Plastic,2.0 kg,80.00,"Power seat motor for driver seat adjustment."
603,Seat Belt Pretensioner,SBP-603,SafetyPro,Safety,Steel,0.5 kg,50.00,"Seat belt pretensioner for passenger safety in case of collision."
604,Side Impact Beam,SIB-604,SafetyPro,Safety,Steel,3.0 kg,100.00,"Side impact beam for vehicle side collision protection."
605,Headlight Washer Assembly,HWA-605,LumPro,Lights,Plastic,0.5 kg,30.00,"Headlight washer assembly for headlight cleaning."
606,Fog Light Washer Assembly,FLWA-606,LumPro,Lights,Plastic,0.3 kg,20.00,"Fog light washer assembly for fog light cleaning."
607,Windshield Wiper Motor,WWM-607,WiperPro,Exterior,Plastic,1.0 kg,40.00,"Windshield wiper motor for vehicle windshield cleaning."
608,Sunroof Motor,SMM-608,RoofPro,Exterior,Plastic,2.0 kg,100.00,"Sunroof motor for sunroof operation."
609,Door Lock Actuator Motor,DLA-609,LockPro,Interior,Plastic,0.5 kg,35.00,"Door lock actuator motor for automatic door locking and unlocking."
610,Power Mirror Motor,PMM-610,MirrorPro,Exterior,Plastic,0.8 kg,50.00,"Power mirror motor for automatic side mirror adjustment."
611,Steering Angle Sensor,SAS-611,SteerPro,Steering,Plastic,0.2 kg,40.00,"Steering angle sensor for precise vehicle direction control."
612,Vehicle Speed Sensor,VSS-612,SteerPro,Steering,Plastic,0.2 kg,35.00,"Vehicle speed sensor for accurate vehicle speed measurement."
613,Throttle Position Sensor Motor,TPSM-613,SensorSense,Intake,Plastic,0.3 kg,50.00,"Throttle position sensor motor for precise engine control."
614,Camshaft Position Sensor Motor,CMPSM-614,SensorSense,Engine,Plastic,0.3 kg,45.00,"Camshaft position sensor motor for accurate engine timing."
615,Coolant Temperature Sensor Motor,CTSM-615,SensorSense,Cooling,Plastic,0.2 kg,35.00,"Coolant temperature sensor motor for optimal engine cooling."
616,Engine Control Unit Motor,ECUM-616,ECUPro,Electronics,Plastic,1.0 kg,100.00,"Engine control unit motor for managing engine operations."
617,Airbag Control Unit Motor,ACUM-617,AirbagPro,Electronics,Plastic,0.8 kg,80.00,"Airbag control unit motor for passenger safety."
618,Anti-lock Braking System Motor,ABSM-618,BrakePro,Brakes,Steel,1.5 kg,120.00,"Anti-lock braking system motor for improved vehicle control."
619,Brake Master Cylinder Motor,BMCM-619,BrakePro,Brakes,Cast Iron,1.5 kg,70.00,"Brake master cylinder motor for hydraulic brake force multiplication."
620,Power Steering Pump Motor,PSPM-620,SteerPro,Steering,Cast Iron,3.0 kg,120.00,"Power steering pump motor for improved vehicle maneuverability."
892,Transmission Control Unit Motor Motor,TCUMMM-892,TransPro,Transmission,Plastic,0.6 kg,60.00,"Transmission control unit motor motor for smooth gear shifting."
893,Clutch Master Cylinder Motor Motor,CMCMMM-893,TransPro,Transmission,Cast Iron,0.6 kg,45.00,"Clutch master cylinder motor motor for clutch engagement control."
894,Alternator Motor Motor,ALTM-894,PowerPro,Electrical,Cast Iron,4.5 kg,105.00,"Alternator motor motor for vehicle electrical system power generation."
895,Starter Motor Motor,STM-895,PowerPro,Electrical,Cast Iron,3.0 kg,65.00,"Starter motor motor for vehicle engine cranking."
896,Battery Motor Motor,BATM-896,PowerPro,Electrical,Lead Acid,7.0 kg,50.00,"Battery motor motor for vehicle electrical system power storage."
897,Headlight Assembly Motor Motor,HLA-897,LumPro,Lights,Plastic,1.0 kg,30.00,"Headlight assembly motor motor for vehicle illumination."
898,Fog Light Assembly Motor Motor,FLMM-898,LumPro,Lights,Plastic,0.5 kg,18.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
899,Taillight Assembly Motor Motor,TLA-899,LumPro,Lights,Plastic,0.8 kg,28.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
900,Side Mirror Assembly Motor Motor,SMMMM-900,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Side mirror assembly motor motor for driver visibility and safety."
901,Windshield Wiper Assembly Motor Motor,WWAMM-901,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
902,Sunroof Assembly Motor Motor,SRA-902,RoofPro,Exterior,Glass,9.0 kg,350.00,"Sunroof assembly motor motor for passenger comfort and natural light."
903,Door Lock Actuator Motor Motor,DLA-903,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
904,Power Window Motor Motor,PWM-904,WindowPro,Interior,Plastic,0.5 kg,35.00,"Power window motor motor for automatic window operation."
905,Seat Belt Retractor Motor Motor,SBRM-905,SafetyPro,Safety,Steel,0.4 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
906,Airbag Module Motor Motor,AMMM-906,AirbagPro,Safety,Fabric,1.0 kg,90.00,"Airbag module motor motor for passenger protection in case of collision."
907,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-907,BrakePro,Brakes,Steel,1.6 kg,90.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
908,Brake Pedal Assembly Motor Motor,BPA-908,BrakePro,Brakes,Steel,0.5 kg,35.00,"Brake pedal assembly motor motor for driver brake control."
909,Clutch Pedal Assembly Motor Motor,CPA-909,TransPro,Transmission,Steel,0.5 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
910,Accelerator Pedal Assembly Motor Motor,APAM-910,TransPro,Transmission,Steel,0.4 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
911,Steering Wheel Motor Motor,SWM-911,SteerPro,Steering,Plastic,0.8 kg,65.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
912,Steering Column Motor Motor,SCM-912,SteerPro,Steering,Steel,3.0 kg,90.00,"Steering column motor motor for vehicle direction control and driver comfort."
913,Transmission Shift Lever Motor Motor,TSLM-913,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
914,Center Console Motor Motor,CCM-914,InteriorPro,Interior,Plastic,1.8 kg,55.00,"Center console motor motor for driver controls and storage."
915,Dashboard Motor Motor,DBM-915,InteriorPro,Interior,Plastic,3.0 kg,70.00,"Dashboard motor motor for driver instrument display and controls."
916,Instrument Cluster Motor Motor,ICM-916,InteriorPro,Interior,Plastic,1.0 kg,65.00,"Instrument cluster motor motor for driver vehicle status display."
917,Head Unit Motor Motor,HUM-917,AudioPro,Entertainment,Plastic,1.2 kg,100.00,"Head unit motor motor for vehicle audio and entertainment control."
918,Speaker Assembly Motor Motor,SAM-918,AudioPro,Entertainment,Plastic,0.5 kg,30.00,"Speaker assembly motor motor for vehicle audio playback."
919,Navigation System Motor Motor,NSMM-919,NavPro,Entertainment,Plastic,0.8 kg,180.00,"Navigation system motor motor for driver route guidance and location services."
920,Backup Camera Motor Motor,BCMM-920,CamPro,Entertainment,Plastic,0.3 kg,60.00,"Backup camera motor motor for driver rearview assistance."
921,Air Conditioning Compressor Motor Motor,ACCM-921,ClimatePro,Climate,Steel,3.0 kg,100.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
922,Heater Core Motor Motor,HCMM-922,ClimatePro,Climate,Aluminum,1.0 kg,60.00,"Heater core motor motor for vehicle cabin heating."
923,Radiator Motor Motor,RADMM-923,ClimatePro,Climate,Aluminum,3.0 kg,90.00,"Radiator motor motor for vehicle engine cooling."
924,Expansion Tank Motor Motor,ETMM-924,ClimatePro,Climate,Plastic,0.5 kg,20.00,"Expansion tank motor motor for vehicle cooling system pressure regulation."
925,Power Window Regulator Motor Motor,PWRMM-925,WindowPro,Interior,Plastic,0.8 kg,40.00,"Power window regulator motor motor for automatic window operation."
926,Power Seat Motor Motor,PSMMM-926,SeatPro,Interior,Plastic,1.0 kg,60.00,"Power seat motor motor for driver seat adjustment."
927,Seat Belt Pretensioner Motor Motor,SBPM-927,SafetyPro,Safety,Steel,0.3 kg,30.00,"Seat belt pretensioner motor motor for passenger safety in case of collision."
928,Side Impact Beam Motor Motor,SIBM-928,SafetyPro,Safety,Steel,1.8 kg,65.00,"Side impact beam motor motor for vehicle side collision protection."
929,Headlight Washer Assembly Motor Motor,HWAMM-929,LumPro,Lights,Plastic,0.3 kg,20.00,"Headlight washer assembly motor motor for headlight cleaning."
930,Fog Light Washer Assembly Motor Motor,FLWAMM-930,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor motor for fog light cleaning."
931,Windshield Wiper Motor Motor,WWMMM-931,WiperPro,Exterior,Plastic,0.5 kg,30.00,"Windshield wiper motor motor for vehicle windshield cleaning."
932,Sunroof Motor Motor,SMMMM-932,RoofPro,Exterior,Plastic,1.0 kg,65.00,"Sunroof motor motor for sunroof operation."
933,Door Lock Actuator Motor Motor,DLA-933,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
934,Power Mirror Motor Motor,PMMMM-934,MirrorPro,Exterior,Plastic,0.4 kg,40.00,"Power mirror motor motor for automatic side mirror adjustment."
935,Steering Angle Sensor Motor Motor,SASM-935,SteerPro,Steering,Plastic,0.2 kg,30.00,"Steering angle sensor motor motor for precise vehicle direction control."
936,Vehicle Speed Sensor Motor Motor,VSSM-936,SteerPro,Steering,Plastic,0.2 kg,25.00,"Vehicle speed sensor motor motor for accurate vehicle speed measurement."
937,Throttle Position Sensor Motor Motor,TPSSM-937,SensorSense,Intake,Plastic,0.2 kg,40.00,"Throttle position sensor motor motor for precise engine control."
938,Camshaft Position Sensor Motor Motor,CMPSSM-938,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor motor motor for accurate engine timing."
939,Coolant Temperature Sensor Motor Motor,CTSSM-939,SensorSense,Cooling,Plastic,0.2 kg,25.00,"Coolant temperature sensor motor motor for optimal engine cooling."
940,Engine Control Unit Motor Motor,ECUMMM-940,ECUPro,Electronics,Plastic,0.6 kg,65.00,"Engine control unit motor motor for managing engine operations."
941,Airbag Control Unit Motor Motor,ACUMMM-941,AirbagPro,Electronics,Plastic,0.5 kg,45.00,"Airbag control unit motor motor for passenger safety."
942,Anti-lock Braking System Motor Motor,ABSMMM-942,BrakePro,Brakes,Steel,1.0 kg,85.00,"Anti-lock braking system motor motor for improved vehicle control."
943,Brake Master Cylinder Motor Motor,BMCMMM-943,BrakePro,Brakes,Cast Iron,1.0 kg,50.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
944,Power Steering Pump Motor Motor,PSPMMM-944,SteerPro,Steering,Cast Iron,2.5 kg,85.00,"Power steering pump motor motor for improved vehicle maneuverability."
945,Steering Rack Motor Motor,SRMMM-945,SteerPro,Steering,Steel,4.5 kg,150.00,"Steering rack motor motor for precise vehicle direction control."
946,Transmission Control Unit Motor Motor,TCUMMM-946,TransPro,Transmission,Plastic,0.6 kg,60.00,"Transmission control unit motor motor for smooth gear shifting."
947,Clutch Master Cylinder Motor Motor,CMCMMM-947,TransPro,Transmission,Cast Iron,0.6 kg,45.00,"Clutch master cylinder motor motor for clutch engagement control."
948,Alternator Motor Motor,ALTM-948,PowerPro,Electrical,Cast Iron,4.5 kg,105.00,"Alternator motor motor for vehicle electrical system power generation."
949,Starter Motor Motor,STM-949,PowerPro,Electrical,Cast Iron,3.0 kg,65.00,"Starter motor motor for vehicle engine cranking."
950,Battery Motor Motor,BATM-950,PowerPro,Electrical,Lead Acid,7.0 kg,50.00,"Battery motor motor for vehicle electrical system power storage."
951,Headlight Assembly Motor Motor,HLA-951,LumPro,Lights,Plastic,1.0 kg,30.00,"Headlight assembly motor motor for vehicle illumination."
952,Fog Light Assembly Motor Motor,FLMM-952,LumPro,Lights,Plastic,0.5 kg,18.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
953,Taillight Assembly Motor Motor,TLA-953,LumPro,Lights,Plastic,0.8 kg,28.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
954,Side Mirror Assembly Motor Motor,SMMMM-954,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Side mirror assembly motor motor for driver visibility and safety."
955,Windshield Wiper Assembly Motor Motor,WWAMM-955,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
956,Sunroof Assembly Motor Motor,SRA-956,RoofPro,Exterior,Glass,9.0 kg,350.00,"Sunroof assembly motor motor for passenger comfort and natural light."
957,Door Lock Actuator Motor Motor,DLA-957,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
958,Power Window Motor Motor,PWM-958,WindowPro,Interior,Plastic,0.5 kg,35.00,"Power window motor motor for automatic window operation."
959,Seat Belt Retractor Motor Motor,SBRM-959,SafetyPro,Safety,Steel,0.4 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
960,Airbag Module Motor Motor,AMMM-960,AirbagPro,Safety,Fabric,1.0 kg,90.00,"Airbag module motor motor for passenger protection in case of collision."
961,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-961,BrakePro,Brakes,Steel,1.6 kg,90.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
962,Brake Pedal Assembly Motor Motor,BPA-962,BrakePro,Brakes,Steel,0.5 kg,35.00,"Brake pedal assembly motor motor for driver brake control."
963,Clutch Pedal Assembly Motor Motor,CPA-963,TransPro,Transmission,Steel,0.5 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
964,Accelerator Pedal Assembly Motor Motor,APAM-964,TransPro,Transmission,Steel,0.4 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
965,Steering Wheel Motor Motor,SWM-965,SteerPro,Steering,Plastic,0.8 kg,65.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
966,Steering Column Motor Motor,SCM-966,SteerPro,Steering,Steel,3.0 kg,90.00,"Steering column motor motor for vehicle direction control and driver comfort."
967,Transmission Shift Lever Motor Motor,TSLM-967,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
968,Center Console Motor Motor,CCM-968,InteriorPro,Interior,Plastic,1.8 kg,55.00,"Center console motor motor for driver controls and storage."
969,Dashboard Motor Motor,DBM-969,InteriorPro,Interior,Plastic,3.0 kg,70.00,"Dashboard motor motor for driver instrument display and controls."
970,Instrument Cluster Motor Motor,ICM-970,InteriorPro,Interior,Plastic,1.0 kg,65.00,"Instrument cluster motor motor for driver vehicle status display."
971,Head Unit Motor Motor,HUM-971,AudioPro,Entertainment,Plastic,1.2 kg,100.00,"Head unit motor motor for vehicle audio and entertainment control."
972,Speaker Assembly Motor Motor,SAM-972,AudioPro,Entertainment,Plastic,0.5 kg,30.00,"Speaker assembly motor motor for vehicle audio playback."
973,Navigation System Motor Motor,NSMM-973,NavPro,Entertainment,Plastic,0.8 kg,180.00,"Navigation system motor motor for driver route guidance and location services."
974,Backup Camera Motor Motor,BCMM-974,CamPro,Entertainment,Plastic,0.3 kg,60.00,"Backup camera motor motor for driver rearview assistance."
975,Air Conditioning Compressor Motor Motor,ACCM-975,ClimatePro,Climate,Steel,3.0 kg,100.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
976,Heater Core Motor Motor,HCMM-976,ClimatePro,Climate,Aluminum,1.0 kg,60.00,"Heater core motor motor for vehicle cabin heating."
977,Radiator Motor Motor,RADMM-977,ClimatePro,Climate,Aluminum,3.0 kg,90.00,"Radiator motor motor for vehicle engine cooling."
