id,name,part_number,manufacturer,category,material,weight,price,detailed_description
768,Fog Light Washer Assembly Motor Motor,FLWAMM-768,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor motor for fog light cleaning."
769,Windshield Wiper Motor Motor,WWMMM-769,WiperPro,Exterior,Plastic,0.5 kg,30.00,"Windshield wiper motor motor for vehicle windshield cleaning."
770,Sunroof Motor Motor,SMMMM-770,RoofPro,Exterior,Plastic,1.0 kg,65.00,"Sunroof motor motor for sunroof operation."
771,Door Lock Actuator Motor Motor,DLA-771,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
772,Power Mirror Motor Motor,PMMMM-772,MirrorPro,Exterior,Plastic,0.4 kg,40.00,"Power mirror motor motor for automatic side mirror adjustment."
773,Steering Angle Sensor Motor Motor,SASM-773,SteerPro,Steering,Plastic,0.2 kg,30.00,"Steering angle sensor motor motor for precise vehicle direction control."
774,Vehicle Speed Sensor Motor Motor,VSSM-774,SteerPro,Steering,Plastic,0.2 kg,25.00,"Vehicle speed sensor motor motor for accurate vehicle speed measurement."
775,Throttle Position Sensor Motor Motor,TPSSM-775,SensorSense,Intake,Plastic,0.2 kg,40.00,"Throttle position sensor motor motor for precise engine control."
776,Camshaft Position Sensor Motor Motor,CMPSSM-776,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor motor motor for accurate engine timing."
777,Coolant Temperature Sensor Motor Motor,CTSSM-777,SensorSense,Cooling,Plastic,0.2 kg,25.00,"Coolant temperature sensor motor motor for optimal engine cooling."
778,Engine Control Unit Motor Motor,ECUMMM-778,ECUPro,Electronics,Plastic,0.6 kg,65.00,"Engine control unit motor motor for managing engine operations."
779,Airbag Control Unit Motor Motor,ACUMMM-779,AirbagPro,Electronics,Plastic,0.5 kg,45.00,"Airbag control unit motor motor for passenger safety."
780,Anti-lock Braking System Motor Motor,ABSMMM-780,BrakePro,Brakes,Steel,1.0 kg,85.00,"Anti-lock braking system motor motor for improved vehicle control."
781,Brake Master Cylinder Motor Motor,BMCMMM-781,BrakePro,Brakes,Cast Iron,1.0 kg,50.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
782,Power Steering Pump Motor Motor,PSPMMM-782,SteerPro,Steering,Cast Iron,2.5 kg,85.00,"Power steering pump motor motor for improved vehicle maneuverability."
783,Steering Rack Motor Motor,SRMMM-783,SteerPro,Steering,Steel,4.5 kg,150.00,"Steering rack motor motor for precise vehicle direction control."
784,Transmission Control Unit Motor Motor,TCUMMM-784,TransPro,Transmission,Plastic,0.6 kg,60.00,"Transmission control unit motor motor for smooth gear shifting."
785,Clutch Master Cylinder Motor Motor,CMCMMM-785,TransPro,Transmission,Cast Iron,0.6 kg,45.00,"Clutch master cylinder motor motor for clutch engagement control."
786,Alternator Motor Motor,ALTM-786,PowerPro,Electrical,Cast Iron,4.5 kg,105.00,"Alternator motor motor for vehicle electrical system power generation."
787,Starter Motor Motor,STM-787,PowerPro,Electrical,Cast Iron,3.0 kg,65.00,"Starter motor motor for vehicle engine cranking."
788,Battery Motor Motor,BATM-788,PowerPro,Electrical,Lead Acid,7.0 kg,50.00,"Battery motor motor for vehicle electrical system power storage."
789,Headlight Assembly Motor Motor,HLA-789,LumPro,Lights,Plastic,1.0 kg,30.00,"Headlight assembly motor motor for vehicle illumination."
790,Fog Light Assembly Motor Motor,FLMM-790,LumPro,Lights,Plastic,0.5 kg,18.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
791,Taillight Assembly Motor Motor,TLA-791,LumPro,Lights,Plastic,0.8 kg,28.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
792,Side Mirror Assembly Motor Motor,SMMMM-792,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Side mirror assembly motor motor for driver visibility and safety."
793,Windshield Wiper Assembly Motor Motor,WWAMM-793,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
794,Sunroof Assembly Motor Motor,SRA-794,RoofPro,Exterior,Glass,9.0 kg,350.00,"Sunroof assembly motor motor for passenger comfort and natural light."
795,Door Lock Actuator Motor Motor,DLA-795,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
796,Power Window Motor Motor,PWM-796,WindowPro,Interior,Plastic,0.5 kg,35.00,"Power window motor motor for automatic window operation."
797,Seat Belt Retractor Motor Motor,SBRM-797,SafetyPro,Safety,Steel,0.4 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
798,Airbag Module Motor Motor,AMMM-798,AirbagPro,Safety,Fabric,1.0 kg,90.00,"Airbag module motor motor for passenger protection in case of collision."
799,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-799,BrakePro,Brakes,Steel,1.6 kg,90.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
800,Brake Pedal Assembly Motor Motor,BPA-800,BrakePro,Brakes,Steel,0.5 kg,35.00,"Brake pedal assembly motor motor for driver brake control."
801,Clutch Pedal Assembly Motor Motor,CPA-801,TransPro,Transmission,Steel,0.5 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
802,Accelerator Pedal Assembly Motor Motor,APAM-802,TransPro,Transmission,Steel,0.4 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
803,Steering Wheel Motor Motor,SWM-803,SteerPro,Steering,Plastic,0.8 kg,65.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
804,Steering Column Motor Motor,SCM-804,SteerPro,Steering,Steel,3.0 kg,90.00,"Steering column motor motor for vehicle direction control and driver comfort."
805,Transmission Shift Lever Motor Motor,TSLM-805,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
806,Center Console Motor Motor,CCM-806,InteriorPro,Interior,Plastic,1.8 kg,55.00,"Center console motor motor for driver controls and storage."
807,Dashboard Motor Motor,DBM-807,InteriorPro,Interior,Plastic,3.0 kg,70.00,"Dashboard motor motor for driver instrument display and controls."
808,Instrument Cluster Motor Motor,ICM-808,InteriorPro,Interior,Plastic,1.0 kg,65.00,"Instrument cluster motor motor for driver vehicle status display."
809,Head Unit Motor Motor,HUM-809,AudioPro,Entertainment,Plastic,1.2 kg,100.00,"Head unit motor motor for vehicle audio and entertainment control."
810,Speaker Assembly Motor Motor,SAM-810,AudioPro,Entertainment,Plastic,0.5 kg,30.00,"Speaker assembly motor motor for vehicle audio playback."
811,Navigation System Motor Motor,NSMM-811,NavPro,Entertainment,Plastic,0.8 kg,180.00,"Navigation system motor motor for driver route guidance and location services."
812,Backup Camera Motor Motor,BCMM-812,CamPro,Entertainment,Plastic,0.3 kg,60.00,"Backup camera motor motor for driver rearview assistance."
813,Air Conditioning Compressor Motor Motor,ACCM-813,ClimatePro,Climate,Steel,3.0 kg,100.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
814,Heater Core Motor Motor,HCMM-814,ClimatePro,Climate,Aluminum,1.0 kg,60.00,"Heater core motor motor for vehicle cabin heating."
815,Radiator Motor Motor,RADMM-815,ClimatePro,Climate,Aluminum,3.0 kg,90.00,"Radiator motor motor for vehicle engine cooling."
816,Expansion Tank Motor Motor,ETMM-816,ClimatePro,Climate,Plastic,0.5 kg,20.00,"Expansion tank motor motor for vehicle cooling system pressure regulation."
817,Power Window Regulator Motor Motor,PWRMM-817,WindowPro,Interior,Plastic,0.8 kg,40.00,"Power window regulator motor motor for automatic window operation."
818,Power Seat Motor Motor,PSMMM-818,SeatPro,Interior,Plastic,1.0 kg,60.00,"Power seat motor motor for driver seat adjustment."
819,Seat Belt Pretensioner Motor Motor,SBPM-819,SafetyPro,Safety,Steel,0.3 kg,30.00,"Seat belt pretensioner motor motor for passenger safety in case of collision."
820,Side Impact Beam Motor Motor,SIBM-820,SafetyPro,Safety,Steel,1.8 kg,65.00,"Side impact beam motor motor for vehicle side collision protection."
821,Headlight Washer Assembly Motor Motor,HWAMM-821,LumPro,Lights,Plastic,0.3 kg,20.00,"Headlight washer assembly motor motor for headlight cleaning."
822,Fog Light Washer Assembly Motor Motor,FLWAMM-822,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor motor for fog light cleaning."
823,Windshield Wiper Motor Motor,WWMMM-823,WiperPro,Exterior,Plastic,0.5 kg,30.00,"Windshield wiper motor motor for vehicle windshield cleaning."
824,Sunroof Motor Motor,SMMMM-824,RoofPro,Exterior,Plastic,1.0 kg,65.00,"Sunroof motor motor for sunroof operation."
825,Door Lock Actuator Motor Motor,DLA-825,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
826,Power Mirror Motor Motor,PMMMM-826,MirrorPro,Exterior,Plastic,0.4 kg,40.00,"Power mirror motor motor for automatic side mirror adjustment."
827,Steering Angle Sensor Motor Motor,SASM-827,SteerPro,Steering,Plastic,0.2 kg,30.00,"Steering angle sensor motor motor for precise vehicle direction control."
828,Vehicle Speed Sensor Motor Motor,VSSM-828,SteerPro,Steering,Plastic,0.2 kg,25.00,"Vehicle speed sensor motor motor for accurate vehicle speed measurement."
829,Throttle Position Sensor Motor Motor,TPSSM-829,SensorSense,Intake,Plastic,0.2 kg,40.00,"Throttle position sensor motor motor for precise engine control."
830,Camshaft Position Sensor Motor Motor,CMPSSM-830,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor motor motor for accurate engine timing."
831,Coolant Temperature Sensor Motor Motor,CTSSM-831,SensorSense,Cooling,Plastic,0.2 kg,25.00,"Coolant temperature sensor motor motor for optimal engine cooling."
832,Engine Control Unit Motor Motor,ECUMMM-832,ECUPro,Electronics,Plastic,0.6 kg,65.00,"Engine control unit motor motor for managing engine operations."
833,Airbag Control Unit Motor Motor,ACUMMM-833,AirbagPro,Electronics,Plastic,0.5 kg,45.00,"Airbag control unit motor motor for passenger safety."
834,Anti-lock Braking System Motor Motor,ABSMMM-834,BrakePro,Brakes,Steel,1.0 kg,85.00,"Anti-lock braking system motor motor for improved vehicle control."
835,Brake Master Cylinder Motor Motor,BMCMMM-835,BrakePro,Brakes,Cast Iron,1.0 kg,50.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
836,Power Steering Pump Motor Motor,PSPMMM-836,SteerPro,Steering,Cast Iron,2.5 kg,85.00,"Power steering pump motor motor for improved vehicle maneuverability."
837,Steering Rack Motor Motor,SRMMM-837,SteerPro,Steering,Steel,4.5 kg,150.00,"Steering rack motor motor for precise vehicle direction control."
838,Transmission Control Unit Motor Motor,TCUMMM-838,TransPro,Transmission,Plastic,0.6 kg,60.00,"Transmission control unit motor motor for smooth gear shifting."
839,Clutch Master Cylinder Motor Motor,CMCMMM-839,TransPro,Transmission,Cast Iron,0.6 kg,45.00,"Clutch master cylinder motor motor for clutch engagement control."
840,Alternator Motor Motor,ALTM-840,PowerPro,Electrical,Cast Iron,4.5 kg,105.00,"Alternator motor motor for vehicle electrical system power generation."
841,Starter Motor Motor,STM-841,PowerPro,Electrical,Cast Iron,3.0 kg,65.00,"Starter motor motor for vehicle engine cranking."
842,Battery Motor Motor,BATM-842,PowerPro,Electrical,Lead Acid,7.0 kg,50.00,"Battery motor motor for vehicle electrical system power storage."
843,Headlight Assembly Motor Motor,HLA-843,LumPro,Lights,Plastic,1.0 kg,30.00,"Headlight assembly motor motor for vehicle illumination."
844,Fog Light Assembly Motor Motor,FLMM-844,LumPro,Lights,Plastic,0.5 kg,18.00,"Fog light assembly motor motor for improved visibility in low-light conditions."
845,Taillight Assembly Motor Motor,TLA-845,LumPro,Lights,Plastic,0.8 kg,28.00,"Taillight assembly motor motor for vehicle rear illumination and signaling."
846,Side Mirror Assembly Motor Motor,SMMMM-846,MirrorPro,Exterior,Plastic,0.5 kg,40.00,"Side mirror assembly motor motor for driver visibility and safety."
847,Windshield Wiper Assembly Motor Motor,WWAMM-847,WiperPro,Exterior,Plastic,0.6 kg,30.00,"Windshield wiper assembly motor motor for vehicle windshield cleaning."
848,Sunroof Assembly Motor Motor,SRA-848,RoofPro,Exterior,Glass,9.0 kg,350.00,"Sunroof assembly motor motor for passenger comfort and natural light."
849,Door Lock Actuator Motor Motor,DLA-849,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
850,Power Window Motor Motor,PWM-850,WindowPro,Interior,Plastic,0.5 kg,35.00,"Power window motor motor for automatic window operation."
851,Seat Belt Retractor Motor Motor,SBRM-851,SafetyPro,Safety,Steel,0.4 kg,30.00,"Seat belt retractor motor motor for passenger safety and comfort."
852,Airbag Module Motor Motor,AMMM-852,AirbagPro,Safety,Fabric,1.0 kg,90.00,"Airbag module motor motor for passenger protection in case of collision."
853,Anti-lock Braking System Hydraulic Unit Motor Motor,ABSHUMM-853,BrakePro,Brakes,Steel,1.6 kg,90.00,"Anti-lock braking system hydraulic unit motor motor for improved vehicle control."
854,Brake Pedal Assembly Motor Motor,BPA-854,BrakePro,Brakes,Steel,0.5 kg,35.00,"Brake pedal assembly motor motor for driver brake control."
855,Clutch Pedal Assembly Motor Motor,CPA-855,TransPro,Transmission,Steel,0.5 kg,30.00,"Clutch pedal assembly motor motor for driver clutch control."
856,Accelerator Pedal Assembly Motor Motor,APAM-856,TransPro,Transmission,Steel,0.4 kg,25.00,"Accelerator pedal assembly motor motor for driver throttle control."
857,Steering Wheel Motor Motor,SWM-857,SteerPro,Steering,Plastic,0.8 kg,65.00,"Steering wheel motor motor for vehicle direction control and driver comfort."
858,Steering Column Motor Motor,SCM-858,SteerPro,Steering,Steel,3.0 kg,90.00,"Steering column motor motor for vehicle direction control and driver comfort."
859,Transmission Shift Lever Motor Motor,TSLM-859,TransPro,Transmission,Plastic,0.3 kg,20.00,"Transmission shift lever motor motor for driver gear selection."
860,Center Console Motor Motor,CCM-860,InteriorPro,Interior,Plastic,1.8 kg,55.00,"Center console motor motor for driver controls and storage."
861,Dashboard Motor Motor,DBM-861,InteriorPro,Interior,Plastic,3.0 kg,70.00,"Dashboard motor motor for driver instrument display and controls."
862,Instrument Cluster Motor Motor,ICM-862,InteriorPro,Interior,Plastic,1.0 kg,65.00,"Instrument cluster motor motor for driver vehicle status display."
863,Head Unit Motor Motor,HUM-863,AudioPro,Entertainment,Plastic,1.2 kg,100.00,"Head unit motor motor for vehicle audio and entertainment control."
864,Speaker Assembly Motor Motor,SAM-864,AudioPro,Entertainment,Plastic,0.5 kg,30.00,"Speaker assembly motor motor for vehicle audio playback."
865,Navigation System Motor Motor,NSMM-865,NavPro,Entertainment,Plastic,0.8 kg,180.00,"Navigation system motor motor for driver route guidance and location services."
866,Backup Camera Motor Motor,BCMM-866,CamPro,Entertainment,Plastic,0.3 kg,60.00,"Backup camera motor motor for driver rearview assistance."
867,Air Conditioning Compressor Motor Motor,ACCM-867,ClimatePro,Climate,Steel,3.0 kg,100.00,"Air conditioning compressor motor motor for vehicle cabin cooling."
868,Heater Core Motor Motor,HCMM-868,ClimatePro,Climate,Aluminum,1.0 kg,60.00,"Heater core motor motor for vehicle cabin heating."
869,Radiator Motor Motor,RADMM-869,ClimatePro,Climate,Aluminum,3.0 kg,90.00,"Radiator motor motor for vehicle engine cooling."
870,Expansion Tank Motor Motor,ETMM-870,ClimatePro,Climate,Plastic,0.5 kg,20.00,"Expansion tank motor motor for vehicle cooling system pressure regulation."
871,Power Window Regulator Motor Motor,PWRMM-871,WindowPro,Interior,Plastic,0.8 kg,40.00,"Power window regulator motor motor for automatic window operation."
872,Power Seat Motor Motor,PSMMM-872,SeatPro,Interior,Plastic,1.0 kg,60.00,"Power seat motor motor for driver seat adjustment."
873,Seat Belt Pretensioner Motor Motor,SBPM-873,SafetyPro,Safety,Steel,0.3 kg,30.00,"Seat belt pretensioner motor motor for passenger safety in case of collision."
874,Side Impact Beam Motor Motor,SIBM-874,SafetyPro,Safety,Steel,1.8 kg,65.00,"Side impact beam motor motor for vehicle side collision protection."
875,Headlight Washer Assembly Motor Motor,HWAMM-875,LumPro,Lights,Plastic,0.3 kg,20.00,"Headlight washer assembly motor motor for headlight cleaning."
876,Fog Light Washer Assembly Motor Motor,FLWAMM-876,LumPro,Lights,Plastic,0.2 kg,15.00,"Fog light washer assembly motor motor for fog light cleaning."
877,Windshield Wiper Motor Motor,WWMMM-877,WiperPro,Exterior,Plastic,0.5 kg,30.00,"Windshield wiper motor motor for vehicle windshield cleaning."
878,Sunroof Motor Motor,SMMMM-878,RoofPro,Exterior,Plastic,1.0 kg,65.00,"Sunroof motor motor for sunroof operation."
879,Door Lock Actuator Motor Motor,DLA-879,LockPro,Interior,Plastic,0.3 kg,20.00,"Door lock actuator motor motor for automatic door locking and unlocking."
880,Power Mirror Motor Motor,PMMMM-880,MirrorPro,Exterior,Plastic,0.4 kg,40.00,"Power mirror motor motor for automatic side mirror adjustment."
881,Steering Angle Sensor Motor Motor,SASM-881,SteerPro,Steering,Plastic,0.2 kg,30.00,"Steering angle sensor motor motor for precise vehicle direction control."
882,Vehicle Speed Sensor Motor Motor,VSSM-882,SteerPro,Steering,Plastic,0.2 kg,25.00,"Vehicle speed sensor motor motor for accurate vehicle speed measurement."
883,Throttle Position Sensor Motor Motor,TPSSM-883,SensorSense,Intake,Plastic,0.2 kg,40.00,"Throttle position sensor motor motor for precise engine control."
884,Camshaft Position Sensor Motor Motor,CMPSSM-884,SensorSense,Engine,Plastic,0.2 kg,35.00,"Camshaft position sensor motor motor for accurate engine timing."
885,Coolant Temperature Sensor Motor Motor,CTSSM-885,SensorSense,Cooling,Plastic,0.2 kg,25.00,"Coolant temperature sensor motor motor for optimal engine cooling."
886,Engine Control Unit Motor Motor,ECUMMM-886,ECUPro,Electronics,Plastic,0.6 kg,65.00,"Engine control unit motor motor for managing engine operations."
887,Airbag Control Unit Motor Motor,ACUMMM-887,AirbagPro,Electronics,Plastic,0.5 kg,45.00,"Airbag control unit motor motor for passenger safety."
888,Anti-lock Braking System Motor Motor,ABSMMM-888,BrakePro,Brakes,Steel,1.0 kg,85.00,"Anti-lock braking system motor motor for improved vehicle control."
889,Brake Master Cylinder Motor Motor,BMCMMM-889,BrakePro,Brakes,Cast Iron,1.0 kg,50.00,"Brake master cylinder motor motor for hydraulic brake force multiplication."
890,Power Steering Pump Motor Motor,PSPMMM-890,SteerPro,Steering,Cast Iron,2.5 kg,85.00,"Power steering pump motor motor for improved vehicle maneuverability."
891,Steering Rack Motor Motor,SRMMM-891,SteerPro,Steering,Steel,4.5 kg,150.00,"Steering rack motor motor for precise vehicle direction control."
